"","s","p","o","mapFile"
"1","arg:origResult","  rdf:type","rdf:Property","code.ttl"
"2","arg:origResult","  rdfs:subPropertyOf","sp:arg","code.ttl"
"3","<http://topbraid.org/countries#US>","  skos:prefLabel","""USA""","code.ttl"
"4","time:Instant","      rdf:type","owl:Restriction","code.ttl"
"5","time:Instant","      owl:hasValue","code:CodeSystem_ISO8601","code.ttl"
"6","time:Instant","      owl:onProperty","code:hasCodeSystem","code.ttl"
"7","time:TemporalEntity","      rdf:type","owl:Restriction","code.ttl"
"8","time:TemporalEntity","      owl:hasValue","code:CodeSystem_ISO8601","code.ttl"
"9","time:TemporalEntity","      owl:onProperty","code:hasCodeSystem","code.ttl"
"10","time:TemporalUnit","  rdfs:subClassOf","code:Unit","code.ttl"
"11","time:unitDay","  skos:prefLabel","""UNITDAY""","code.ttl"
"12","time:unitHour","  skos:prefLabel","""UNITHOUR""","code.ttl"
"13","time:unitMinute","  skos:prefLabel","""UNITMONTH""","code.ttl"
"14","time:unitMonth","  rdf:type","code:AgeUnit","code.ttl"
"15","time:unitMonth","  skos:prefLabel","""MONTH""","code.ttl"
"16","time:unitSecond","  skos:prefLabel","""SECOND""","code.ttl"
"17","time:unitWeek","  rdf:type","code:AgeUnit","code.ttl"
"18","time:unitWeek","  skos:prefLabel","""WEEK""","code.ttl"
"19","time:unitYear","  rdf:type","code:AgeUnit","code.ttl"
"20","time:unitYear","  skos:prefLabel","""YEAR""","code.ttl"
"21","time:unitYear","  rdf:type","owl:Ontology","code.ttl"
"22","time:unitYear","  spin:imports","<http://topbraid.org/spin/owlrl-all>","code.ttl"
"23","time:unitYear","  spin:imports","<http://topbraid.org/spin/rdfsplus>","code.ttl"
"24","time:unitYear","  spin:imports","<http://topbraid.org/spin/skosspin>","code.ttl"
"25","time:unitYear","  spin:imports","<http://topbraid.org/spin/spinowl>","code.ttl"
"26","time:unitYear","  owl:imports","<http://datashapes.org/dash>","code.ttl"
"27","time:unitYear","  owl:imports","<http://spinrdf.org/spin>","code.ttl"
"28","time:unitYear","  owl:imports","<http://spinrdf.org/spl>","code.ttl"
"29","time:unitYear","  owl:imports","<http://www.w3.org/2004/02/skos/core>","code.ttl"
"30","time:unitYear","  owl:imports","<http://www.w3.org/2006/time>","code.ttl"
"31","time:unitYear","  owl:imports","sh:","code.ttl"
"32","time:unitYear","  owl:imports","<https://w3id.org/phuse/cts>","code.ttl"
"33","time:unitYear","  owl:imports","mms:","code.ttl"
"34","time:unitYear","  owl:imports","<https://w3id.org/phuse/sdtmterm>","code.ttl"
"35","time:unitYear","  owl:versionInfo","""Created with TopBraid Composer""","code.ttl"
"36","code:ActiveSubstance","  rdf:type","owl:Class","code.ttl"
"37","code:ActiveSubstance","  rdfs:subClassOf","code:Substance","code.ttl"
"38","code:ActiveSubstance","  skos:prefLabel","""Active substance""","code.ttl"
"39","code:ActivityStatus","  rdf:type","owl:Class","code.ttl"
"40","code:ActivityStatus","  rdfs:comment","""""","code.ttl"
"41","code:ActivityStatus","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"42","code:ActivityStatus","  skos:definition","""""","code.ttl"
"43","code:ActivityStatus","  skos:prefLabel","""Activity status""","code.ttl"
"44","code:ActivityStatus_CO","  rdf:type","code:ActivityStatus","code.ttl"
"45","code:ActivityStatus_CO","  rdfs:comment","""""","code.ttl"
"46","code:ActivityStatus_CO","  skos:altLabel","""COMPLETE""","code.ttl"
"47","code:ActivityStatus_CO","  skos:definition","""""","code.ttl"
"48","code:ActivityStatus_CO","  skos:prefLabel","""CO""","code.ttl"
"49","code:ActivityStatus_IC","  rdf:type","code:ActivityStatus","code.ttl"
"50","code:ActivityStatus_IC","  rdfs:comment","""""","code.ttl"
"51","code:ActivityStatus_IC","  skos:altLabel","""INCOMPLETE""","code.ttl"
"52","code:ActivityStatus_IC","  skos:definition","""""","code.ttl"
"53","code:ActivityStatus_IC","  skos:prefLabel","""IC""","code.ttl"
"54","code:ActivityStatus_ND","  rdf:type","code:ActivityStatus","code.ttl"
"55","code:ActivityStatus_ND","  rdfs:comment","""""","code.ttl"
"56","code:ActivityStatus_ND","  skos:altLabel","""NOT DONE""","code.ttl"
"57","code:ActivityStatus_ND","  skos:definition","""""","code.ttl"
"58","code:ActivityStatus_ND","  skos:prefLabel","""ND""","code.ttl"
"59","code:ActivityStatus_ST","  rdf:type","code:ActivityStatus","code.ttl"
"60","code:ActivityStatus_ST","  rdfs:comment","""""","code.ttl"
"61","code:ActivityStatus_ST","  skos:altLabel","""STARTED""","code.ttl"
"62","code:ActivityStatus_ST","  skos:definition","""""","code.ttl"
"63","code:ActivityStatus_ST","  skos:prefLabel","""ND""","code.ttl"
"64","code:ActivityStatus_ST","  skos:prefLabel","""ST""","code.ttl"
"65","code:AdministrativeActivity","  rdf:type","owl:Class","code.ttl"
"66","code:AdministrativeActivity","  rdfs:comment","""""","code.ttl"
"67","code:AdministrativeActivity","  rdfs:subClassOf","code:DefinedActivity","code.ttl"
"68","code:AdministrativeActivity","  skos:definition","""""","code.ttl"
"69","code:AdministrativeActivity","  skos:prefLabel","""Administrative activity term""","code.ttl"
"70","code:AdministrativeActivityOutcome","  rdf:type","owl:Class","code.ttl"
"71","code:AdministrativeActivityOutcome","  rdfs:comment","""""","code.ttl"
"72","code:AdministrativeActivityOutcome","  rdfs:subClassOf","code:DefinedActivityOutcome","code.ttl"
"73","code:AdministrativeActivityOutcome","  skos:definition","""""","code.ttl"
"74","code:AdministrativeActivityOutcome","  skos:prefLabel","""Administrative activity outcome term""","code.ttl"
"75","code:Age","  rdf:type","owl:Class","code.ttl"
"76","code:Age","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"77","code:Age","  rdfs:subClassOf","code:DemographicData","code.ttl"
"78","code:Age","  rdfs:subClassOf","code:NumericOutcome","code.ttl"
"79","code:Age","      rdf:type","owl:Restriction","code.ttl"
"80","code:Age","      owl:hasValue","code:CodeSystem_ISO8601","code.ttl"
"81","code:Age","      owl:onProperty","code:hasCodeSystem","code.ttl"
"82","code:AgeDataCollection","  rdf:type","owl:Class","code.ttl"
"83","code:AgeDataCollection","  rdfs:subClassOf","code:DemographicDataCollection","code.ttl"
"84","code:AgeGroup","  rdf:type","owl:Class","code.ttl"
