"s","p","o","mapFile"
"<http://rdf.cdisc.org/sdtmterm#C66731.C16576>","  skos:prefLabel","""F""","study.ttl"
"<http://rdf.cdisc.org/sdtmterm#C66731.C17998>","  skos:prefLabel","""U""","study.ttl"
"<http://rdf.cdisc.org/sdtmterm#C66731.C20197>","  skos:prefLabel","""M""","study.ttl"
"<http://rdf.cdisc.org/sdtmterm#C66731.C45908>","  skos:prefLabel","""UNDIFFERENTIATED""","study.ttl"
"arg:activityDate","  rdf:type","rdf:Property","study.ttl"
"arg:activityDate","  rdfs:subPropertyOf","sp:arg","study.ttl"
"arg:birthdate","  rdf:type","rdf:Property","study.ttl"
"arg:birthdate","  rdfs:subPropertyOf","sp:arg","study.ttl"
"arg:datestring","  rdf:type","rdf:Property","study.ttl"
"arg:datestring","  rdfs:subPropertyOf","sp:arg","study.ttl"
"arg:datestring1","  rdf:type","rdf:Property","study.ttl"
"arg:datestring1","  rdfs:subPropertyOf","sp:arg","study.ttl"
"arg:datestring2","  rdf:type","rdf:Property","study.ttl"
"arg:datestring2","  rdfs:subPropertyOf","sp:arg","study.ttl"
"arg:refDate","  rdf:type","rdf:Property","study.ttl"
"arg:refDate","  rdfs:subPropertyOf","sp:arg","study.ttl"
"arg:refdate","  rdf:type","rdf:Property","study.ttl"
"arg:refdate","  rdfs:subPropertyOf","sp:arg","study.ttl"
"time:hasBeginning","  rdfs:subPropertyOf","study:hasDate","study.ttl"
"time:inXSDDateTime","  rdfs:subPropertyOf","study:dateTimeInXSDString","study.ttl"
"code:ActivityStatus_CO","  rdf:type","study:ActivityStatus","study.ttl"
"code:ActivityStatus_IC","  rdf:type","study:ActivityStatus","study.ttl"
"code:ActivityStatus_ND","  rdf:type","study:ActivityStatus","study.ttl"
"code:ActivityStatus_ST","  rdf:type","study:ActivityStatus","study.ttl"
"code:AgeDataCollection","  rdfs:subClassOf","study:Observation","study.ttl"
"code:AgeDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:AgeDataCollection","      owl:allValuesFrom","study:AgeOutcome","study.ttl"
"code:AgeDataCollection","      owl:onProperty","code:outcome","study.ttl"
"code:AnatomicLocation","      rdf:type","owl:Restriction","study.ttl"
"code:AnatomicLocation","      owl:allValuesFrom","code:BodyPosition","study.ttl"
"code:AnatomicLocation","      owl:onProperty","code:outcome","study.ttl"
"code:Arm","  rdf:type","study:AnatomicLocation","study.ttl"
"code:AssumeBodyPosition","      rdf:type","owl:Restriction","study.ttl"
"code:AssumeBodyPosition","      owl:allValuesFrom","study:BodyPosition","study.ttl"
"code:AssumeBodyPosition","      owl:onProperty","code:outcome","study.ttl"
"code:BloodPressure","      rdf:type","owl:Restriction","study.ttl"
"code:BloodPressure","      owl:allValuesFrom","study:BloodPressureOutcome","study.ttl"
"code:BloodPressure","      owl:onProperty","code:outcome","study.ttl"
"code:BodyPosition_STANDING","  rdf:type","study:BodyPosition","study.ttl"
"code:BodyPosition_SUPINE","  rdf:type","study:BodyPosition","study.ttl"
"code:DemographicDataCollection","  rdfs:subClassOf","study:Observation","study.ttl"
"code:DemographicDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:DemographicDataCollection","      owl:allValuesFrom","code:GenericOutcome","study.ttl"
"code:DemographicDataCollection","      owl:onProperty","code:outcome","study.ttl"
"code:DemographicDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:DemographicDataCollection","      owl:onProperty","study:hasSubActivity","study.ttl"
"code:DemographicDataCollection","      owl:someValuesFrom","code:AgeDataCollection","study.ttl"
"code:DemographicDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:DemographicDataCollection","      owl:onProperty","study:hasSubActivity","study.ttl"
"code:DemographicDataCollection","      owl:someValuesFrom","code:EthnicityDataCollection","study.ttl"
"code:DemographicDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:DemographicDataCollection","      owl:onProperty","study:hasSubActivity","study.ttl"
"code:DemographicDataCollection","      owl:someValuesFrom","code:RaceDataCollection","study.ttl"
"code:DemographicDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:DemographicDataCollection","      owl:onProperty","study:hasSubActivity","study.ttl"
"code:DemographicDataCollection","      owl:someValuesFrom","code:SexDataCollection","study.ttl"
"code:DiastolicBloodPressure","      rdf:type","owl:Restriction","study.ttl"
"code:DiastolicBloodPressure","      owl:allValuesFrom","study:BloodPressureOutcome","study.ttl"
"code:DiastolicBloodPressure","      owl:onProperty","code:outcome","study.ttl"
"code:EthnicityDataCollection","  rdfs:subClassOf","study:Observation","study.ttl"
"code:EthnicityDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:EthnicityDataCollection","      owl:allValuesFrom","study:EthnicOutcome","study.ttl"
"code:EthnicityDataCollection","      owl:onProperty","code:outcome","study.ttl"
"code:Ethnicity_HISPANIC_OR_LATINO","  rdf:type","study:EthnicOutcome","study.ttl"
"code:Ethnicity_NOT_HISPANIC_OR_LATINO","  rdf:type","study:EthnicOutcome","study.ttl"
"code:Ethnicity_NOT_REPORTED","  rdf:type","study:EthnicOutcome","study.ttl"
"code:Ethnicity_UNKNOWN","  rdf:type","study:EthnicOutcome","study.ttl"
"code:GenericOutcome","  rdfs:subClassOf","study:CategoricalOutcome","study.ttl"
"code:Height","      rdf:type","owl:Restriction","study.ttl"
"code:Height","      owl:allValuesFrom","study:HeightOutcome","study.ttl"
"code:Height","      owl:onProperty","code:outcome","study.ttl"
"code:InformedConsentOutcome_1","  rdf:type","study:InformedConsentOutcome","study.ttl"
"code:InformedConsentOutcome_2","  rdf:type","study:InformedConsentOutcome","study.ttl"
"code:InformedConsentOutcome_3","  rdf:type","study:InformedConsentOutcome","study.ttl"
"code:Oral_Cavity","  rdf:type","study:AnatomicLocation","study.ttl"
"code:Pulse","      rdf:type","owl:Restriction","study.ttl"
"code:Pulse","      owl:allValuesFrom","study:PulseOutcome","study.ttl"
"code:Pulse","      owl:onProperty","code:outcome","study.ttl"
"code:RaceDataCollection","  rdfs:subClassOf","study:Observation","study.ttl"
"code:RaceDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:RaceDataCollection","      owl:allValuesFrom","study:RaceOutcome","study.ttl"
"code:RaceDataCollection","      owl:onProperty","code:outcome","study.ttl"
"code:Race_AMERICAN_INDIAN_OR_ALASKA_NATIVE","  rdf:type","study:RaceOutcome","study.ttl"
"code:Race_ASIAN","  rdf:type","study:RaceOutcome","study.ttl"
"code:Race_BLACK_OR_AFRICAN_AMERICAN","  rdf:type","study:RaceOutcome","study.ttl"
"code:Race_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER","  rdf:type","study:RaceOutcome","study.ttl"
"code:Race_WHITE","  rdf:type","study:RaceOutcome","study.ttl"
"code:RuleOutcome_FALSE","  rdf:type","study:RuleOutcome","study.ttl"
"code:RuleOutcome_NA","  rdf:type","study:RuleOutcome","study.ttl"
"code:RuleOutcome_TRUE","  rdf:type","study:RuleOutcome","study.ttl"
"code:SexDataCollection","  rdfs:subClassOf","study:Observation","study.ttl"
"code:SexDataCollection","      rdf:type","owl:Restriction","study.ttl"
"code:SexDataCollection","      owl:allValuesFrom","study:SexOutcome","study.ttl"
"code:SexDataCollection","      owl:onProperty","code:outcome","study.ttl"
"code:Sex_F","  rdf:type","study:SexOutcome","study.ttl"
"code:Sex_M","  rdf:type","study:SexOutcome","study.ttl"
"code:Sex_U","  rdf:type","study:SexOutcome","study.ttl"
"code:Sex_UN","  rdf:type","study:SexOutcome","study.ttl"
"code:SystolicBloodPressure","      rdf:type","owl:Restriction","study.ttl"
"code:SystolicBloodPressure","      owl:allValuesFrom","study:BloodPressureOutcome","study.ttl"
"code:SystolicBloodPressure","      owl:onProperty","code:outcome","study.ttl"
"code:Temperature","      rdf:type","owl:Restriction","study.ttl"
"code:Temperature","      owl:allValuesFrom","study:TemperatureOutcome","study.ttl"
"code:Temperature","      owl:onProperty","code:outcome","study.ttl"
"code:Weight","      rdf:type","owl:Restriction","study.ttl"
"code:Weight","      owl:allValuesFrom","study:WeightOutcome","study.ttl"
"code:Weight","      owl:onProperty","code:outcome","study.ttl"
"code:hasAge","  rdfs:range","study:AgeOutcome","study.ttl"
"<https://raw.githubusercontent.com/phuse-org/CTDasRDF/master/data/rdf/study.ttl>","  rdf:type","owl:Ontology","study.ttl"
"<https://raw.githubusercontent.com/phuse-org/CTDasRDF/master/data/rdf/study.ttl>","  spin:imports","<http://topbraid.org/spin/owlrl-all>","study.ttl"
"<https://raw.githubusercontent.com/phuse-org/CTDasRDF/master/data/rdf/study.ttl>","  owl:imports","<http://spinrdf.org/spl>","study.ttl"
"<https://raw.githubusercontent.com/phuse-org/CTDasRDF/master/data/rdf/study.ttl>","  owl:imports","<http://www.w3.org/2004/02/skos/core>","study.ttl"
"<https://raw.githubusercontent.com/phuse-org/CTDasRDF/master/data/rdf/study.ttl>","  owl:imports","<https://raw.githubusercontent.com/phuse-org/CTDasRDF/master/data/rdf/code.ttl>","study.ttl"
"<https://raw.githubusercontent.com/phuse-org/CTDasRDF/master/data/rdf/study.ttl>","  owl:versionInfo","""Created with TopBraid Composer""","study.ttl"
"study:ActiveProduct","  rdf:type","owl:Class","study.ttl"
"study:ActiveProduct","  rdfs:subClassOf","study:Product","study.ttl"
"study:ActiveProduct","  skos:altLabel","""""","study.ttl"
"study:ActiveProduct","  skos:prefLabel","""Active product""","study.ttl"
"study:Activity","  rdf:type","owl:Class","study.ttl"
"study:Activity","  rdfs:subClassOf","study:StudyComponent","study.ttl"
"study:ActivityBegin","  rdf:type","owl:Class","study.ttl"
"study:ActivityBegin","  rdfs:subClassOf","study:BeginInstant","study.ttl"
"study:ActivityBegin","  skos:prefLabel","""Activity begin""","study.ttl"
"study:ActivityDate","  rdf:type","owl:Class","study.ttl"
"study:ActivityDate","  rdfs:comment","""""","study.ttl"
"study:ActivityDate","  rdfs:subClassOf","study:Date","study.ttl"
"study:ActivityDate","  skos:definition","""""","study.ttl"
"study:ActivityDate","  skos:prefLabel","""Activity date""","study.ttl"
"study:ActivityEnd","  rdf:type","owl:Class","study.ttl"
"study:ActivityEnd","  rdfs:comment","""""","study.ttl"
"study:ActivityEnd","  rdfs:subClassOf","study:EndInstant","study.ttl"
"study:ActivityEnd","  skos:definition","""""","study.ttl"
"study:ActivityEnd","  skos:prefLabel","""Activity end""","study.ttl"
"study:ActivityInterval","  rdf:type","owl:Class","study.ttl"
"study:ActivityInterval","  rdfs:comment","""""","study.ttl"
"study:ActivityInterval","  rdfs:subClassOf","time:Interval","study.ttl"
"study:ActivityInterval","  skos:definition","""""","study.ttl"
"study:ActivityInterval","  skos:prefLabel","""Activity interval""","study.ttl"
"study:ActivityOutcome","  rdf:type","owl:Class","study.ttl"
"study:ActivityOutcome","  rdfs:comment","""""","study.ttl"
"study:ActivityOutcome","  rdfs:subClassOf","study:Entity","study.ttl"
"study:ActivityOutcome","  skos:definition","""An Entity that is the outcome of a Study Activity. For an Observation, this is the result of the observation. ""","study.ttl"
"study:ActivityOutcome","  skos:prefLabel","""Activity outcome""","study.ttl"
"study:ActivityStatus","  rdf:type","owl:Class","study.ttl"
"study:ActivityStatus","  rdfs:subClassOf","study:Entity","study.ttl"
"study:ActivityStatus","  skos:definition","""The Status or state of a StudyActivity. For example, Completed, Started, Not Done, Incomplete.""","study.ttl"
"study:ActivityStatus","  skos:prefLabel","""Activity status""","study.ttl"
"study:AdministrativeActivity","  rdf:type","owl:Class","study.ttl"
"study:AdministrativeActivity","  rdfs:comment","""""","study.ttl"
"study:AdministrativeActivity","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:AdministrativeActivity","  skos:definition","""A StudyActivity that is performed primarily to facilitate administrative execution of a study. These are activities that are not routinely performed during ordinary patient care outside of a study setting. ""","study.ttl"
"study:AdministrativeActivity","  skos:prefLabel","""Administrative activity""","study.ttl"
"study:AdministrativeActivityOutcome","  rdf:type","owl:Class","study.ttl"
"study:AdministrativeActivityOutcome","  rdfs:subClassOf","study:ActivityOutcome","study.ttl"
"study:AdministrativeActivityOutcome","  skos:altLabel","""""","study.ttl"
"study:AdministrativeActivityOutcome","  skos:prefLabel","""Administrative activity outcome""","study.ttl"
"study:AdverseEvent","  rdf:type","owl:Class","study.ttl"
"study:AdverseEvent","  rdfs:comment","""""","study.ttl"
"study:AdverseEvent","  rdfs:subClassOf","study:MedicalCondition","study.ttl"
"study:AdverseEvent","  skos:definition","""An adverse Medical Condition that emerges or worsens following a Medical Intervention, including the use of a drug. Note: there is no presumption of causality.""","study.ttl"
"study:AdverseEvent","  skos:prefLabel","""Adverse event""","study.ttl"
"study:AgeOutcome","  rdf:type","owl:Class","study.ttl"
"study:AgeOutcome","      rdf:type","sp:Ask","study.ttl"
"study:AgeOutcome","            sp:object","study:AgeOutcome","study.ttl"
"study:AgeOutcome","            sp:predicate","rdf:type","study.ttl"
"study:AgeOutcome","            sp:subject","spin:_this","study.ttl"
"study:AgeOutcome","                sp:varName","""age""","study.ttl"
"study:AgeOutcome","            sp:predicate","code:hasValue","study.ttl"
"study:AgeOutcome","            sp:subject","spin:_this","study.ttl"
"study:AgeOutcome","            rdf:type","sp:Filter","study.ttl"
"study:AgeOutcome","                rdf:type","sp:lt","study.ttl"
"study:AgeOutcome","                    sp:varName","""age""","study.ttl"
"study:AgeOutcome","                sp:arg2","0","study.ttl"
"study:AgeOutcome","  rdfs:subClassOf","study:NumericOutcome","study.ttl"
"study:AgeOutcome","      rdf:type","owl:Restriction","study.ttl"
