subject,types,typeClass,typeProp,subClassOf,subPropOf,comment,definition,label,fromDomain,toRange
<http://rdf.cdisc.org/sdtmterm#C66731.C16576>,,,,,,,,"""F""",,
<http://rdf.cdisc.org/sdtmterm#C66731.C17998>,,,,,,,,"""U""",,
<http://rdf.cdisc.org/sdtmterm#C66731.C20197>,,,,,,,,"""M""",,
<http://rdf.cdisc.org/sdtmterm#C66731.C45908>,,,,,,,,"""UNDIFFERENTIATED""",,
<https://raw.githubusercontent.com/phuse-org/CT,owl:Ontology,,,,,,,,,
arg:activityDate,rdf:Property,,1,,,,,,,
arg:birthdate,rdf:Property,,1,,,,,,,
arg:datestring,rdf:Property,,1,,,,,,,
arg:datestring1,rdf:Property,,1,,,,,,,
arg:datestring2,rdf:Property,,1,,,,,,,
arg:refDate,rdf:Property,,1,,,,,,,
arg:refdate,rdf:Property,,1,,,,,,,
code:ActivityStatus_CO,study:ActivityStatus,,,,,,,,,
code:ActivityStatus_IC,study:ActivityStatus,,,,,,,,,
code:ActivityStatus_ND,study:ActivityStatus,,,,,,,,,
code:ActivityStatus_ST,study:ActivityStatus,,,,,,,,,
code:AgeDataCollection,owl:Restriction,,,study:Observation,,,,,,
code:AnatomicLocation,owl:Restriction,,,,,,,,,
code:Arm,study:AnatomicLocation,,,,,,,,,
code:AssumeBodyPosition,owl:Restriction,,,,,,,,,
code:BloodPressure,owl:Restriction,,,,,,,,,
code:BodyPosition_STANDING,study:BodyPosition,,,,,,,,,
code:BodyPosition_SUPINE,study:BodyPosition,,,,,,,,,
code:DemographicDataCollection,owl:Restriction,,,study:Observation,,,,,,
code:DiastolicBloodPressure,owl:Restriction,,,,,,,,,
code:EthnicityDataCollection,owl:Restriction,,,study:Observation,,,,,,
code:Ethnicity_HISPANIC_OR_LATINO,study:EthnicOutcome,,,,,,,,,
code:Ethnicity_NOT_HISPANIC_OR_LATINO,study:EthnicOutcome,,,,,,,,,
code:Ethnicity_NOT_REPORTED,study:EthnicOutcome,,,,,,,,,
code:Ethnicity_UNKNOWN,study:EthnicOutcome,,,,,,,,,
code:GenericOutcome,,,,study:CategoricalOutcome,,,,,,
code:Height,owl:Restriction,,,,,,,,,
code:InformedConsentOutcome_1,study:InformedConsentOutcom,,,,,,,,,
code:InformedConsentOutcome_2,study:InformedConsentOutcom,,,,,,,,,
code:InformedConsentOutcome_3,study:InformedConsentOutcom,,,,,,,,,
code:Oral_Cavity,study:AnatomicLocation,,,,,,,,,
code:Pulse,owl:Restriction,,,,,,,,,
code:RaceDataCollection,owl:Restriction,,,study:Observation,,,,,,
code:Race_AMERICAN_INDIAN_OR_ALASKA_NATIVE,study:RaceOutcome,,,,,,,,,
code:Race_ASIAN,study:RaceOutcome,,,,,,,,,
code:Race_BLACK_OR_AFRICAN_AMERICAN,study:RaceOutcome,,,,,,,,,
code:Race_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLA,study:RaceOutcome,,,,,,,,,
code:Race_WHITE,study:RaceOutcome,,,,,,,,,
code:RuleOutcome_FALSE,study:RuleOutcome,,,,,,,,,
code:RuleOutcome_NA,study:RuleOutcome,,,,,,,,,
code:RuleOutcome_TRUE,study:RuleOutcome,,,,,,,,,
code:SexDataCollection,owl:Restriction,,,study:Observation,,,,,,
code:Sex_F,study:SexOutcome,,,,,,,,,
code:Sex_M,study:SexOutcome,,,,,,,,,
code:Sex_U,study:SexOutcome,,,,,,,,,
code:Sex_UN,study:SexOutcome,,,,,,,,,
code:SystolicBloodPressure,owl:Restriction,,,,,,,,,
code:Temperature,owl:Restriction,,,,,,,,,
code:Weight,owl:Restriction,,,,,,,,,
code:hasAge,,,,,,,,,,study:AgeOutcome
code:outcome,owl:FunctionalProperty#owl:ObjectProperty,,1,,,,,"""has outcome""",study:StudyActivity,study:ActivityOutcome
study:ActiveProduct,owl:Class,1,,study:Product,,,,"""Active product""",,
study:Activity,owl:Class,1,,study:StudyComponent,,,,,,
