fromDomain,subject,toRange,typeClass,typeProp,label
,arg:activityDate,,,1,
,arg:birthdate,,,1,
,arg:datestring,,,1,
,arg:datestring1,,,1,
,arg:datestring2,,,1,
,arg:refDate,,,1,
,arg:refdate,,,1,
study:StudyActivity,code:outcome,study:ActivityOutcome,,1,"""has outcome"""
,study:ActiveProduct,,1,,"""Active product"""
study:ActiveProduct,owl:subClassOf,study:Product,,1,"""Active product"""
,study:Activity,,1,,
study:Activity,owl:subClassOf,study:StudyComponent,,1,
,study:ActivityBegin,,1,,"""Activity begin"""
study:ActivityBegin,owl:subClassOf,study:BeginInstant,,1,"""Activity begin"""
,study:ActivityDate,,1,,"""Activity date"""
study:ActivityDate,owl:subClassOf,study:Date,,1,"""Activity date"""
,study:ActivityEnd,,1,,"""Activity end"""
study:ActivityEnd,owl:subClassOf,study:EndInstant,,1,"""Activity end"""
,study:ActivityInterval,,1,,"""Activity interval"""
study:ActivityInterval,owl:subClassOf,time:Interval,,1,"""Activity interval"""
,study:ActivityOutcome,,1,,"""Activity outcome"""
study:ActivityOutcome,owl:subClassOf,study:Entity,,1,"""Activity outcome"""
,study:ActivityStatus,,1,,"""Activity status"""
study:ActivityStatus,owl:subClassOf,study:Entity,,1,"""Activity status"""
,study:AdministrativeActivity,,1,,"""Administrative activity"""
study:AdministrativeActivity,owl:subClassOf,study:StudyActivity,,1,"""Administrative activity"""
,study:AdministrativeActivityOutcome,,1,,"""Administrative activity ou"
study:AdministrativeActivityOutcome,owl:subClassOf,study:ActivityOutcome,,1,"""Administrative activity ou"
,study:AdverseEvent,,1,,"""Adverse event"""
study:AdverseEvent,owl:subClassOf,study:MedicalCondition,,1,"""Adverse event"""
,study:AgeOutcome,,1,,"""Age"""
study:AgeOutcome,owl:subClassOf,study:NumericOutcome,,1,"""Age"""
,study:Allocation,,1,,"""Allocation"""
study:Allocation,owl:subClassOf,study:AdministrativeActivit,,1,"""Allocation"""
,study:AllocationOutcome,,1,,"""Allocation outcome"""
study:AllocationOutcome,owl:subClassOf,study:AdministrativeActivit,,1,"""Allocation outcome"""
,study:Analysis,,1,,"""Analysis"""
study:Analysis,owl:subClassOf,study:StudyActivity,,1,"""Analysis"""
,study:AnalysisOutcome,,1,,"""Analysis outcome"""
