Type;new;s;p;o
class;1;study:PrimaryObjective;;
class;1;study:SecondaryObjective;;
class;1;study:Sponsor;;
class;1;study:Title;;
class;1;study:InvestigationalSubstance;;
class;;study:Study;;
class;;code:Substance;;
class;;code:SubstanceQuantity;;
triple;;study:Study;study:hasPrimObjective;study:PrimaryObjective
triple;;study:Study;study:hasSecObjective;study:SecondaryObjective
triple;;study:Study;study:hasSponsor;study:Sponsor
triple;;study:Study;study:hasTitle;study:Title
triple;;code:SubstanceQuantity;code:hasIngredient;code:Substance
