name,code,predicate,object,type,notes
armcd,PBO,http://purl.org/dc/terms/description,Placebo control,,
armcd,PBO,http://www.w3.org/2004/02/skos/core/prefLabel,Placebo,,
armcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARM,Placebo,,
armcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARMCD,Pbo,,
armcd,PBO,http://www.w3.org/2000/01/rdf-schema#comment,Corresponds to the value in the arm column of define,en,
armcd,XAN_HI,http://purl.org/dc/terms/description,Xanomeline High Dose,,
armcd,XAN_HI,http://www.w3.org/2004/02/skos/core/prefLabel,Xanomeline High Dose,,
armcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARM,Xanomeline High Dose,,
armcd,XAN_HI,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARMCD,Xan_Hi,,
armcd,XAN_HI,http://www.w3.org/2000/01/rdf-schema#comment,Corresponds to the value in the arm column of define,en,
armcd,XAN_LO,http://purl.org/dc/terms/description,Xanomeline Low Dose,,
armcd,XAN_LO,http://www.w3.org/2004/02/skos/core/prefLabel,Xanomeline Low Dose,,
armcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARM,Xanomeline Low Dose,,
armcd,XAN_LO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARMCD,Xan_Lo,,
armcd,XAN_LO,http://www.w3.org/2000/01/rdf-schema#comment,Corresponds to the value in the arm column of define,en,
actarmcd,PBO,http://purl.org/dc/terms/description,Placebo control,,
actarmcd,PBO,http://www.w3.org/2004/02/skos/core/prefLabel,Placebo,,
actarmcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARM,Placebo,,
actarmcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARMCD,Pbo,,
actarmcd,PBO,http://www.w3.org/2000/01/rdf-schema#comment,Corresponds to the value in the arm column of define,en,
actarmcd,XAN_HI,http://purl.org/dc/terms/description,Xanomeline High Dose,,
actarmcd,XAN_HI,http://www.w3.org/2004/02/skos/core/prefLabel,Xanomeline High Dose,,
actarmcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARM,Xanomeline High Dose,,
actarmcd,XAN_HI,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARMCD,Xan_Hi,,
actarmcd,XAN_HI,http://www.w3.org/2000/01/rdf-schema#comment,Corresponds to the value in the arm column of define,en,
actarmcd,XAN_LO,http://purl.org/dc/terms/description,Xanomeline Low Dose,,
actarmcd,XAN_LO,http://www.w3.org/2004/02/skos/core/prefLabel,Xanomeline Low Dose,,
actarmcd,PBO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARM,Xanomeline Low Dose,,
actarmcd,XAN_LO,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasARMCD,Xan_Lo,,
actarmcd,XAN_LO,http://www.w3.org/2000/01/rdf-schema#comment,Corresponds to the value in the arm column of define,en,
country,USA,http://purl.org/dc/terms/description,United States of Amercia country code,en,
country,USA,http://www.w3.org/2004/02/skos/core/prefLabel,USA,,
sex,F,http://purl.org/dc/terms/description,Female Gender,en,used for identification purposes only
sex,F,http://www.w3.org/2004/02/skos/core/prefLabel,F ,,used for identification purposes only
sex,F,http://rdf.cdisc.org/sdtm-terminology#code,http://rdf.cdisc.org/sdtm-terminology#C66731.C16576,uri,Link to SDTM terminology
sex,M,http://purl.org/dc/terms/description,Male Gender,en,used for identification purposes only
sex,M,http://www.w3.org/2004/02/skos/core/prefLabel,M,,used for identification purposes only
sex,M,http://rdf.cdisc.org/sdtm-terminology#code,http://rdf.cdisc.org/sdtm-terminology#C66731.C20197,uri,Link to SDTM terminology
sdtmdomain,SV,http://www.w3.org/2004/02/skos/core/prefLabel,SV,,used for identification purposes only
sdtmdomain,SV,http://purl.org/dc/terms/description,Subject visit domain,en,used for identification purposes only
sdtmdomain,SV,http://rdf.cdisc.org/sdtm-terminology#code,http://rdf.cdisc.org/sdtm-terminology#C66734.C49617,uri,Link to SDTM terminology
sdtmdomain,DM,http://www.w3.org/2004/02/skos/core/prefLabel,DM,,
sdtmdomain,DM,http://purl.org/dc/terms/description,Subject demographics domain,en,used for identification purposes only
sdtmdomain,DM,http://rdf.cdisc.org/sdtm-terminology#code,http://rdf.cdisc.org/sdtm-terminology#C66734.C49572,uri,Link to SDTM terminology
site,701,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#StudySite,uri,
site,701,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasSiteId,701,,Later versions will code site from the data and from Country codelists.
site,701,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#locatedIn,http://www.example.org/sdtm/code/country-USA,uri,
study,CDISCPILOT01,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#Study,uri,"Defines this ""thing"" as ""a Study"""
study,CDISCPILOT01,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hasSTUDYID,CDISCPILOT01,,
study,CDISCPILOT01,http://purl.org/dc/terms/description,CDISC PILOT 01 data from github. Original data from Lilly.,en,
study,CDISCPILOT01,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hassdtmDOMAIN,http://www.example.org/sdtm/code/sdtmdomain-DM,uri,"Each domain needs to be listed: DM,SV, etc. to show the domains that are in the study"
study,CDISCPILOT01,http://www.example.org/PharmaCo/CompoundX/Study/cdiscpilot01#hassdtmDOMAIN,http://www.example.org/sdtm/code/sdtmdomain-SV,uri,"Each domain needs to be listed: DM,SV, etc. to show the domains that are in the study"
studyid,CDISCPILOT01,http://www.example.org/CDISCDefine/label,CDISCPILOT01,,predicate from DEFINE
studyid,CDISCPILOT01,http://www.example.org/CDISCDefine/type,text,en,"predicate from DEFINE. Object ""text"" is appropriate here."
studyid,CDISCPILOT01,http://www.example.org/CDISCDefine/origin,http://www.example.org/tf/code/CRF-PAGE7,,predicate from DEFINE
