"studyid","domain","tsseq","tsgrpid","tsparmcd","tsparm","tsval"
"PC201708","TS",1,,"AGETXT","Age Text","6-7"
"PC201708","TS",1,,"AGEU","Age Unit","WEEKS"
"PC201708","TS",1,,"DIET","Basal Diet","STANDARD"
"PC201708","TS",1,,"DOSDUR","Dosing Duration","P13W"
"PC201708","TS",1,,"ENVTEMP","Environmental Temperature","22-28"
"PC201708","TS",1,,"ENVTEMPU","Environmental Temperature Units","C"
"PC201708","TS",1,,"EXPENDTC","Experimental End Date","2016-05-16"
"PC201708","TS",1,,"EXPSTDTC","Experimental Start Date","2016-02-01"
"PC201708","TS",1,,"GLPTYP","Good Laboratory Practice Type","FDA"
"PC201708","TS",1,,"HOUSEGRP","Housing Group","INDIVIDUAL"
"PC201708","TS",1,,"HOUSETYP","Housing Type","Polycarbonate cages"
"PC201708","TS",1,,"HUMIDT","Housing Humidity","30-70"
"PC201708","TS",1,,"HUMIDTU","Housing Humidity Units","%"
"PC201708","TS",1,,"IDMETH","Method of Identification","Microchip"
"PC201708","TS",1,,"LIGHT","Light Cycle","12 / 12"
"PC201708","TS",1,,"LOT","Lot Number","PC4321"
"PC201708","TS",1,,"MTHTRM","Method of Termination","ANESTHETIZED EXSANGUINATION"
"PC201708","TS",1,,"PLANFSUB","Planned Number of Female Subjects","75"
"PC201708","TS",1,,"PLANMSUB","Planned Number of Male Subjects","75"
"PC201708","TS",1,,"QATYPE","Quality Assurance type","GLP"
"PC201708","TS",1,,"RECSAC","Recovery Period","P14D"
"PC201708","TS",1,,"ROUTE","Route of Administration","ORAL GAVAGE"
"PC201708","TS",1,,"SDESIGN","Study Design","PARALLEL"
"PC201708","TS",1,,"SEXPOP","Sex of Participants","BOTH"
"PC201708","TS",1,,"SNDCTVER","SEND Controlled Terminology Version","SEND Terminology 2017-03-31"
"PC201708","TS",1,,"SNDIGVER","SEND Implementation Guide Version","SEND IMPLEMENTATION GUIDE VERSION 3.0"
"PC201708","TS",1,,"SPECIES","Species","RAT"
"PC201708","TS",1,,"SPLANSUB","Planned Number of Subjects","150"
"PC201708","TS",1,,"SPLRNAM","Test Subject Supplier","Rat Labs"
"PC201708","TS",1,,"SPREFID","Sponsor's Reference ID","NOT AVAILABLE"
"PC201708","TS",1,,"SRANDOM","Study Is Randomized","Y"
"PC201708","TS",1,,"SSPONSOR","Sponsoring Organization","PCLS Pharmaceuticals"
"PC201708","TS",1,,"SSTYP","Study Type","REPEAT DOSE TOXICITY"
"PC201708","TS",1,,"STCAT","Study Category","TOX"
"PC201708","TS",1,,"STDIR","Study Director","David Everyman"
"PC201708","TS",1,,"STITLE","Study Title","13-Week Repeat Dose Toxicity Study on PCDRUG in Rats"
"PC201708","TS",1,,"STRAIN","Strain/Substrain","SPRAGUE-DAWLEY"
"PC201708","TS",1,,"STSTDTC","Study Start Date","2016-01-15"
"PC201708","TS",1,,"TFCNTRY","Test Facility Country","USA"
"PC201708","TS",1,,"TRMSAC","Time to Terminal Sacrifice","P13W"
"PC201708","TS",1,,"TRT","Investigational Therapy or Treatment","PCDRUG"
"PC201708","TS",1,,"TRTCAS","Primary Treatment CAS Registry Number","NOT AVAILABLE"
"PC201708","TS",1,,"TRTPUR","Percent Purity of Compound","96"
"PC201708","TS",1,,"TRTV","Treatment Vehicle","Saline"
"PC201708","TS",1,,"TSCNTRY","Test Site Country","USA"
"PC201708","TS",1,,"TSLOC","Test Site Location","Foster City, CA"
"PC201708","TS",1,,"TSNAM","Test Site Name","Analytical Labs"
"PC201708","TS",1,,"TSTFLOC","Test Facility Location","Silver Spring, MD"
"PC201708","TS",1,,"TSTFNAM","Test Facility Name","PointCross Life Sciences, Inc"
"PC201708","TS",1,,"WATER","Drinking Water","REVERSE OSMOSIS"
