"studyid","domain","usubjid","subjid","rfstdtc","rfendtc","siteid","brthdtc","age","agetxt","ageu","sex","species","strain","sbstrain","armcd","arm","setcd"
"GLP003","DM","107001493","1101","2007-06-12","2007-07-10T11:32:14",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001427","1102","2007-06-12","2007-07-10T11:32:21",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001458","1103","2007-06-12","2007-07-10T11:32:28",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001389","1104","2007-06-12","2007-07-10T11:32:39",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001377","1105","2007-06-12","2007-07-10T11:32:54",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001472","1106","2007-06-12","2007-07-11T09:38:28",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001401","1107","2007-06-12","2007-07-11T09:38:38",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001466","1108","2007-06-12","2007-07-11T09:39:18",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001428","1109","2007-06-12","2007-07-11T09:39:36",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001483","1110","2007-06-12","2007-07-11T09:39:55",,"2007-04-09",64,,"DAYS","M",,,,"1","Control Vehicle","1"
"GLP003","DM","107001397","1111","2007-06-12","2007-07-24T09:54:54",,"2007-04-09",64,,"DAYS","M",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001467","1112","2007-06-12","2007-07-24T09:55:08",,"2007-04-09",64,,"DAYS","M",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001387","1113","2007-06-12","2007-07-24T09:55:15",,"2007-04-09",64,,"DAYS","M",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001384","1114","2007-06-12","2007-07-24T09:55:21",,"2007-04-09",64,,"DAYS","M",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001423","1115","2007-06-12","2007-07-24T09:55:34",,"2007-04-09",64,,"DAYS","M",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001529","1201","2007-06-14","2007-07-12T10:59:20",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001528","1202","2007-06-14","2007-07-12T10:59:25",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001576","1203","2007-06-14","2007-07-12T10:59:30",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001616","1204","2007-06-14","2007-07-12T10:59:36",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001500","1205","2007-06-14","2007-07-12T10:59:52",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001535","1206","2007-06-14","2007-07-13T10:34:17",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001647","1207","2007-06-14","2007-07-13T10:34:22",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001592","1208","2007-06-14","2007-07-13T10:34:28",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001569","1209","2007-06-14","2007-07-13T10:34:33",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001537","1210","2007-06-14","2007-07-13T10:34:45",,"2007-04-09",66,,"DAYS","F",,,,"1","Control Vehicle","1"
"GLP003","DM","107001594","1211","2007-06-14","2007-07-26T11:39:11",,"2007-04-09",66,,"DAYS","F",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001619","1212","2007-06-14","2007-07-26T11:39:18",,"2007-04-09",66,,"DAYS","F",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001518","1213","2007-06-14","2007-07-26T11:39:25",,"2007-04-09",66,,"DAYS","F",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001538","1214","2007-06-14","2007-07-26T11:39:32",,"2007-04-09",66,,"DAYS","F",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001581","1215","2007-06-14","2007-07-26T11:39:38",,"2007-04-09",66,,"DAYS","F",,,,"1R","Recovery Control Vehicle","1"
"GLP003","DM","107001469","2101","2007-06-12","2007-07-10T11:33:05",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
"GLP003","DM","107001425","2102","2007-06-12","2007-07-10T11:33:11",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
"GLP003","DM","107001440","2103","2007-06-12","2007-07-10T11:33:17",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
"GLP003","DM","107001419","2104","2007-06-12","2007-07-10T11:33:24",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
"GLP003","DM","107001437","2105","2007-06-12","2007-07-10T11:33:35",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
"GLP003","DM","107001415","2106","2007-06-12","2007-07-11T09:40:28",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
"GLP003","DM","107001368","2107","2007-06-12","2007-06-17T10:37:16",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
"GLP003","DM","107001455","2108","2007-06-12","2007-07-11T09:40:39",,"2007-04-09",64,,"DAYS","M",,,,"2","Control Water","2"
