"studyid","domain","tsseq","tsgrpid","tsparmcd","tsparm","tsval"
"GLP003","TS",1,,"STITLE","Study Title","XYZ-12345 One-Month Oral Toxicity Study in Rats with a Two-Week Recovery"
"GLP003","TS",2,,"EXPSTDTC","Experimental Start Date","2007-06-12"
"GLP003","TS",3,,"EXPENDTC","Experimental End Date","2007-07-27"
"GLP003","TS",4,,"SPECIES","Species","RAT"
"GLP003","TS",5,,"STRAIN","Strain/Substrain","SPRAGUE-DAWLEY"
"GLP003","TS",6,,"SSTYP","Study Type","REPEAT DOSE TOXICITY"
"GLP003","TS",7,,"STDIR","Study Director","Dr. H. Someone"
"GLP003","TS",8,,"SPLANSUB","Planned Number of Subjects","240"
"GLP003","TS",9,,"SLENGTH","Study Length","P46D"
"GLP003","TS",10,,"GLPTYP","Good Laboratory Practice Type","FDA"
"GLP003","TS",11,,"SNDIGVER","SEND Implementation Guide Version","SENDIG V3.0"
"GLP003","TS",12,,"SDESIGN","Study Design","PARALLEL"
"GLP003","TS",13,,"DOSDUR","Dosing Duration","P29D"
"GLP003","TS",15,,"ROUTE","Route of Administration","ORAL GAVAGE"
"GLP003","TS",16,,"SSPONSOR","Sponsoring Organization","Example Sponsor Inc."
"GLP003","TS",17,,"STCAT","Study Category","TOX"
"GLP003","TS",18,,"TFCNTRY","Test Facility Country","USA"
"GLP003","TS",19,,"TSTFNAM","Test Facility Name","Example Lab Name"
"GLP003","TS",20,,"SNDCTVER","SEND Controlled Terminology Version","SEND Terminology 2011-06-10"
"GLP003","TS",21,,"SPLRNAM","Test Subject Supplier","Example Supplier, Inc."
"GLP003","TS",22,,"SPREFID","Sponsor's Reference ID","GLP003"
"GLP003","TS",23,,"STSTDTC","Study Start Date","2007-06-04"
"GLP003","TS",24,,"TRT","Investigational Therapy or Treatment","XYZ-12345"
"GLP003","TS",25,,"TSTFLOC","Test Facility Location","1000 Anywhere Street, Honolulu, HI 11111"
"GLP003","TS",26,,"TRMSAC","Time to Terminal Sacrifice","P45D"
"GLP003","TS",27,,"TRTCAS","Primary Treatment CAS Registry Number","NOT AVAILABLE"
"GLP003","TS",28,,"TRTV","Treatment Vehicle","Saline"
"GLP003","TS",29,,"AGETXT","Age Text","9-10"
"GLP003","TS",30,,"AGEU","Age Unit","WEEKS"
