"studyid","domain","tsseq","tsparmcd","tsparm","tsval","tsvalnf","tsvalcd","tsvcdref","tsvcdver"
"CDISCPILOT01","TS",1,"ADDON","Added on to Existing Treatments","N","","","",""
"CDISCPILOT01","TS",1,"AGEMAX","Planned Maximum Age of Subjects","","PINF","","",""
"CDISCPILOT01","TS",1,"AGEMIN","Planned Minimum Age of Subjects","P50Y","","","",""
"CDISCPILOT01","TS",1,"AGESPAN","Age Group","ADULT (18-65)","","","",""
"CDISCPILOT01","TS",2,"AGESPAN","Age Group","ELDERLY (> 65)","","","",""
"CDISCPILOT01","TS",1,"TBLIND","Trial Blinding Schema","DOUBLE BLIND","","","",""
"CDISCPILOT01","TS",1,"TCNTRL","Control Type","PLACEBO","","C49648","CDISC",""
"CDISCPILOT01","TS",1,"TDIGRP","Diagnosis Group","Patients with Probable Mild to Moderate Alzheimer’s Disease","","","",""
"CDISCPILOT01","TS",1,"DOSE","Dose per Administration","54","","","",""
"CDISCPILOT01","TS",2,"DOSE","Dose per Administration","81","","","",""
"CDISCPILOT01","TS",1,"DOSFRQ","Dosing Frequency","QD","","","",""
"CDISCPILOT01","TS",1,"DOSU","Dose Units","mg","","","",""
"CDISCPILOT01","TS",1,"INDIC","Trial Indication","Alzheimer's Disease (Disorder)","","26929004","SNOMED",""
"CDISCPILOT01","TS",1,"TINDTP","Trial Indication Type","TREATMENT","","","",""
"CDISCPILOT01","TS",1,"LENGTH","Trial Length","P26W","","","",""
"CDISCPILOT01","TS",1,"OBJPRIM","Trial Primary Objective","To determine if there is a statistically significant relationship between the change in both ADAS-Cog and CIBIC+ scores, and drug dose (0, 50 cm2 [54 mg], and 75 cm2 [81 mg])","","","",""
"CDISCPILOT01","TS",2,"OBJPRIM","Trial Primary Objective","To document the safety profile of the xanomeline TTS.","","","",""
"CDISCPILOT01","TS",1,"OBJSEC","Trial Secondary Objective","To assess the dose-dependent improvement in behavior. Improved scores on the Revised Neuropsychiatric Inventory (NPI-X) will indicate improvement in these areas.","","","",""
"CDISCPILOT01","TS",2,"OBJSEC","Trial Secondary Objective","To assess the dose-dependent improvements in activities of daily living. Improved scores on the Disability Assessment for Dementia (DAD) will indicate improvement in these areas.","","","",""
"CDISCPILOT01","TS",3,"OBJSEC","Trial Secondary Objective","To assess the dose-dependent improvements in an extended assessment of cognition that integrates attention/concentration tasks. The ADAS-Cog (14) will be used for this assessment.","","","",""
"CDISCPILOT01","TS",4,"OBJSEC","Trial Secondary Objective","To assess the treatment response as a function of Apo E genotype.","","","",""
"CDISCPILOT01","TS",1,"TPHASE","Trial Phase Classification","PHASE II TRIAL","","","",""
"CDISCPILOT01","TS",1,"PLANSUB","Planned Number of Subjects","300","","","",""
"CDISCPILOT01","TS",1,"RANDOM","Trial is Randomized","Y","","","",""
"CDISCPILOT01","TS",1,"ROUTE","Route of Administration","TRANSDERMAL","","","",""
"CDISCPILOT01","TS",1,"SEXPOP","Sex of Participants","BOTH","","","",""
"CDISCPILOT01","TS",1,"SPONSOR","Clinical Study Sponsor","CDISCPILOT01","","","",""
"CDISCPILOT01","TS",1,"TITLE","Trial Title","Safety and Efficacy of the Xanomeline Transdermal Therapeutic System (TTS) in Patients with Mild to Moderate Alzheimer’s Disease.","","","",""
"CDISCPILOT01","TS",1,"TRT","Investigational Therapy or Treatment","Xanomeline","","9ORI6L73CJ","UNII",""
"CDISCPILOT01","TS",1,"TTYPE","Trial Type","SAFETY","","","",""
"CDISCPILOT01","TS",2,"TTYPE","Trial Type","EFFICACY","","","",""
"CDISCPILOT01","TS",4,"TTYPE","Trial Type","PHARMACOKINETIC","","","",""
"CDISCPILOT01","TS",1,"STOPRULE","Study Stop Rules","Last patient completed last visit or sponsor decided to discontinue study","","","",""
"CDISCPILOT01","TS",1,"REGID","Registry Identifier","NCT00987090","","NCT00987090","","clinicaltrials.gov"
"CDISCPILOT01","TS",1,"OUTMSPRI","Primary Outcome Measure","Evaluate the efficacy and safety of transdermal xanomeline, 50cm2 and 75cm2, and placebo in subjects with mild to moderate Alzheimer's disease.","","","",""
"CDISCPILOT01","TS",1,"FCNTRY","Planned Country of Investigational Sites","USA","","USA","ISO 3166",""
"CDISCPILOT01","TS",1,"ADAPT","Adaptive Design","N","","C49487","CDISC",""
"CDISCPILOT01","TS",1,"DCUTDTC","Data Cutoff Date","2015-03-31","","","ISO 8601",""
"CDISCPILOT01","TS",1,"DCUTDESC","Data Cutoff Description","Interim Analysis Data Cutoff Date","","","",""
"CDISCPILOT01","TS",1,"NARMS","Planned Number of Arms","3","","","",""
"CDISCPILOT01","TS",1,"STYPE","Study Type","INTERVENTIONAL","","C98388","CDISC",""
"CDISCPILOT01","TS",1,"SSTDTC","Study Start Date","2012-07-06","","","ISO 8601",""
"CDISCPILOT01","TS",1,"SENDTC","Study End Date","2015-03-05","","","ISO 8601",""
"CDISCPILOT01","TS",1,"ACTSUB","Actual Number of Subjects","254","","","",""
"CDISCPILOT01","TS",1,"HLTSUBJI","Healthy Subject Indicator","N","","C49487","CDISC",""
"CDISCPILOT01","TS",1,"INTMODEL","Intervention Model","PARALLEL","","C82639","CDISC",""
"CDISCPILOT01","TS",1,"INTTYPE","Intervention Type","DRUG","","C1909","CDISC",""
"CDISCPILOT01","TS",1,"PCLAS","Pharmacologic Class","Acetylcholine Release Inhibitor","","N0000175771","NDF-RT",""
