"actsub","adapt","addon","adminact_im","agemax","agemin","agespan","agespan_iri_im","altlbl_im","arm_im","dcutdesc","dcutdtc","dose","dosfrq","dosu","epoch_im","fcntry","hltsubji","indic","intmodel","inttype","lbl_im","length","narms","objprim","objprim_seq_im","objsec","objsec_seq_im","outmspri","pclas","plansub","preflbl_im","random","regid","route","sendtc","sexpop","siteid_im","sponsor","sstdtc","stoprule","studyid","stype","tblind","tblind_im","tcntrl","tdigrp","tindtp","title","tphase","trt","tsparm","tsseq","tsvalcd","tsvalnf","tsvcdref","tsvcdref_iri_im","tsvcdver","ttype","type_im","type2_im"
"254",,,,"NULL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Actual Number of Subjects","1","","","","","",,,
,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Adaptive Design","1","C49487","","CDISC","CDISC","",,,
,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Added on to Existing Treatments","1","","","","","",,,
,,,"DataCutoff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Admin Activity","1","ISO8601",,,,,,,
,,,,,,"ADULT (18-65)","ADULT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Age Group","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,"CDISCPILOT01",,,,,,,,,,"Clinical Study Sponsor","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,"PLACEBO",,,,,,"Control Type","1","C49648","","CDISC","CDISC","",,,
,,,,,,,,,,,"2015-03-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Data Cutoff Date","1","","","ISO 8601","ISO8601","",,,
,,,,,,,,,,"Interim Analysis Data Cutoff Date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Data Cutoff Description","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,"Patients with Probable Mild to Moderate Alzheimer’s Disease",,,,,"Diagnosis Group","1","","","","","",,,
,,,,,,,,,,,,,,"mg",,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Dose Units","1","","","","","",,,
,,,,,,,,,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Dose per Administration","1","","","","","",,,
,,,,,,,,,,,,,"QD",,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Dosing Frequency","1","","","","","",,,
,,,,,,,,,,,,,,,"BlindedTreatment",,,,,,,,,,,,,,,,"Epoch Blinded treatment",,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Epoch Blinded Treatment","1","blindedtreatment",,,,,,,
,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Healthy Subject Indicator","1","C49487","","CDISC","CDISC","",,,
,,,,,,,,,,,,,,,,,,,"PARALLEL",,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Intervention Model","1","C82639","","CDISC","CDISC","",,,
,,,,,,,,,,,,,,,,,,,,"DRUG",,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Intervention Type","1","C1909","","CDISC","CDISC","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,"Xanomeline","Investigational Therapy or Treatment","1","9ORI6L73CJ","","UNII","UNII","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acetylcholine Release Inhibitor",,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Pharmacologic Class","1","N0000175771","","NDF-RT","NDF-RT","",,,
,,,,,,,,,,,,,,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Planned Country of Investigational Sites","1","USA","","ISO 3166","ISO3166","",,,
,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Planned Maximum Age of Subjects","1","","PINF","","","",,,
,,,,,"P50Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Planned Minimum Age of Subjects","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Planned Number of Arms","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300",,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Planned Number of Subjects","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADAS-cog",,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Primary Outcome Measure","1","C100762",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NCT00987090",,,,,,,,"CDISCPILOT01",,,,,,,,,,"Registry Identifier","1","NCT00987090","","","","clinicaltrials.gov",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRANSDERMAL",,,,,,,"CDISCPILOT01",,,,,,,,,,"Route of Administration","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BOTH",,,,,"CDISCPILOT01",,,,,,,,,,"Sex of Participants","1","","","","","",,,
